127.0.0.1 - - [15/Jul/2022:16:04:23 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [15/Jul/2022:16:04:24 +0900] "GET /test/NewFile.jsp HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [15/Jul/2022:16:04:24 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Jul/2022:16:19:16 +0900] "GET /test/Hello.jsp HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [15/Jul/2022:16:19:16 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Jul/2022:16:21:46 +0900] "GET /test/Hello.jsp HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [15/Jul/2022:16:21:46 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Jul/2022:16:50:09 +0900] "GET /test/ex03-08.jsp HTTP/1.1" 200 1209
0:0:0:0:0:0:0:1 - - [15/Jul/2022:16:50:09 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Jul/2022:16:50:45 +0900] "GET /test/ex03-08.jsp HTTP/1.1" 200 1209
0:0:0:0:0:0:0:1 - - [15/Jul/2022:16:53:15 +0900] "GET /test/ex03-08.jsp HTTP/1.1" 200 1429
0:0:0:0:0:0:0:1 - - [15/Jul/2022:16:57:55 +0900] "GET /test/ex03-08.jsp HTTP/1.1" 200 1429
0:0:0:0:0:0:0:1 - - [15/Jul/2022:16:57:55 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Jul/2022:17:00:13 +0900] "GET /test/ex03-08.jsp HTTP/1.1" 200 1369
0:0:0:0:0:0:0:1 - - [15/Jul/2022:17:00:13 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Jul/2022:17:01:34 +0900] "GET /test/ex03-08.jsp HTTP/1.1" 200 1368
0:0:0:0:0:0:0:1 - - [15/Jul/2022:17:01:34 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Jul/2022:17:06:28 +0900] "GET /test/ex03-08.jsp HTTP/1.1" 200 1368
0:0:0:0:0:0:0:1 - - [15/Jul/2022:17:06:28 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Jul/2022:17:25:30 +0900] "GET /test/ex03-04.jsp HTTP/1.1" 200 1336
0:0:0:0:0:0:0:1 - - [15/Jul/2022:17:25:30 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Jul/2022:17:26:35 +0900] "GET /test/ex03-04.html HTTP/1.1" 200 1427
0:0:0:0:0:0:0:1 - - [15/Jul/2022:17:26:47 +0900] "GET /test/ex03-04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2022:17:28:07 +0900] "GET /test/ex03-04.html HTTP/1.1" 200 1476
0:0:0:0:0:0:0:1 - - [15/Jul/2022:17:28:07 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Jul/2022:17:28:23 +0900] "GET /test/ex03-04.html HTTP/1.1" 200 1385
0:0:0:0:0:0:0:1 - - [15/Jul/2022:17:28:23 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Jul/2022:17:28:58 +0900] "GET /test/ex03-04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2022:17:29:05 +0900] "GET /test/ex03-04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2022:17:30:28 +0900] "GET /test/ex03-08.html HTTP/1.1" 200 1368
0:0:0:0:0:0:0:1 - - [15/Jul/2022:17:31:21 +0900] "GET /test/ex03-04.html HTTP/1.1" 200 1386
0:0:0:0:0:0:0:1 - - [15/Jul/2022:17:31:21 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Jul/2022:17:34:45 +0900] "GET /test/ex03-08.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2022:17:34:45 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Jul/2022:17:41:21 +0900] "GET /test/NewFile.html HTTP/1.1" 200 1356
0:0:0:0:0:0:0:1 - - [15/Jul/2022:17:41:21 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Jul/2022:17:41:43 +0900] "GET /test/ex03-08.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2022:17:43:33 +0900] "GET /test/ex03-08.html HTTP/1.1" 200 1369
0:0:0:0:0:0:0:1 - - [15/Jul/2022:17:43:42 +0900] "GET /test/ex03-08.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2022:17:44:21 +0900] "GET /test/ex03-08.html HTTP/1.1" 200 1369
0:0:0:0:0:0:0:1 - - [15/Jul/2022:17:53:26 +0900] "GET /test/ex03-08.html HTTP/1.1" 200 1368
